,A0,A1,A2,A3,A4,A5,A6,A7,B,C,sample_size,seed,time_delta
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784,0.216,900,6,0.000286102294921875
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736,0.264,1000,6,0.00032830238342285156
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.31,1100,6,0.0003440380096435547
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.622,0.378,1200,6,0.00047206878662109375
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636,0.364,1300,6,0.0003948211669921875
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.662,0.338,1400,6,0.0005278587341308594
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.713,0.287,1500,6,0.00045800209045410156
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.682,0.318,1600,6,0.0005950927734375
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637,0.363,1700,6,0.0006561279296875
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,0.462,1800,6,0.00057220458984375
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.554,0.446,1900,6,0.0005590915679931641
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.463,2000,6,0.0008699893951416016
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.375,2100,6,0.0006301403045654297
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.582,2200,6,0.0007562637329101562
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521,0.479,2300,6,0.00066375732421875
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535,0.465,2400,6,0.0007507801055908203
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.483,2500,6,0.0007240772247314453
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.332,2600,6,0.0009338855743408203
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.414,2700,6,0.0009350776672363281
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572,0.428,2800,6,0.0010409355163574219
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.497,2900,6,0.0009737014770507812
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507,0.493,3000,6,0.0008919239044189453
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.11,100,7,6.198883056640625e-05
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965,0.035,200,7,8.296966552734375e-05
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,300,7,0.00011301040649414062
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.017,400,7,0.00016999244689941406
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.017,500,7,0.00021314620971679688
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,600,7,0.0002651214599609375
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938,0.062,700,7,0.0002377033233642578
